TEXT,LABEL
"b""Mexican presidential front-runner hits back at Trump's NAFTA threat, blasts 'pinata' treatment""",Negative
"b""Cramer reflects on how Trump's actions are fueling the 'beast' market rally""",Positive
b'The Wall Street Journal: Peter Thiels VC firm has made a monster bet on bitcoin',Positive
"b'WSJ Wealth Adviser Briefing: Catchy Tickers, Gun Purchase Monitoring, Diet Vodka'",Even
b'Apple proved that it is no longer just an iPhone company',Even
b'App redesign haunts Snap as investors flee stock',Negative
"b'The dollar is surging into overbought territory, warns chart watcher. Heres what it means'",Negative
b'UPS weighs strategy to deliver bulky goods to boost growth',Positive
"b""Yum Brands to report earnings before the opening bell. Here's what to expect""",Even
b'Tesla sued by truck start-up which alleges that its design patent was violated',Negative
b'Everything went backwards at Snap and they are in the penalty box: Fmr. Yahoo COO',Negative
"b""UK's Compass says new CEO to start Jan 1 after death of Cousins - Reuters""",Even
b'CBS submits below market value bid for VIACOM...',Negative
"b""NBA star Andre Iguodala says his team's 'locker room talk' is all business""",Even
b'Snapchat Introduces New Group Video Chat Feature',Positive
b'Trump made tariff decision in a fit of anger: NBC News',Negative
"b""Mueller probing whether Kushner's foreign business ties affected White House policies: NBC News""",Negative
b'UPDATE 1-U.S. ag secretary seeks to calm farmers after Trump biofuel talks',Even
"b'Amazon scrambles to fix cloud networking issue affecting companies like Atlassian, Twilio'",Negative
b'US consumer inflation picks up in January as spending slows',Negative
"b'This $20 million Florida mansion has a closet just for $100,000 worth of Air Jordans'",Even
b'Equifax finds an additional 2.4 million Americans impacted by 2017 breach',Negative
b'Commodities tomorrow: Crude tumbles with stocks',Negative
b'Microsoft calls for dismissal of U.S. Supreme Court privacy fight',Negative
"b'Cramer: If Gary Cohn resigns, watch out stock market'",Negative
"b'IMF warns that steel, aluminum tariffs will likely hurt economies'",Negative
b'You could tank your chance of getting an offer if you bring this up too early in a job interview',Even
"b'WSJ City PM: EU Concerns Linger Despite Extra Time on Tariffs, Ether Faces Scrutiny'",Negative
"b'Dr. Oz: We need to make life-saving health tech for everyone, not just for rich people'",Even
"b'Market correction of 30-40% could be coming soon, investment guru Mark Mobius warns'",Negative
"b'Earnings are blockbuster, but markets arent listening. Heres why'",Positive
b'Apple Has Already Built Its Next Big Business',Positive
b'Down In Front! (Thursday May 3)',Even
b'Twitter says it found a password bug and that you should change yours',Negative
b'Heres what you need to earn to buy a home in these big cities',Even
"b""Vloggers created a $205 'Big Mac' with Wagyu beef and Veuve Clicquothere's everything in it""",Even
b'Dubai International Financial Centre sees higher growth in new companies - Reuters',Positive
b'Real Time Economics: The Fed | Chinese Trade Politics | Jobs Guarantee - Real Time Economics - WSJ',Even
b'Bill Cosby will fight bid to call more accusers at sexual abuse retrial',Negative
b'Trump-Netanyahu meeting is chance to project common front vs. Iran',Even
b'Egypt TV host released on bail after being held for defaming police: sources',Negative
"b""This international stock is the 'least shortable,' when it comes to China stocks""",Even
"b""Harley-Davidson says retaliatory tariffs will have a 'significant impact' on sales""",Negative
"b'Billy McFarland, organizer of disastrous Fyre Festival, pleads guilty to misleading investors'",Negative
"b""Coinbase's bitcoin cash trading rollout cost investors $5 million, lawsuit says""",Negative
"b""Cramer: When it comes to China tariffs, this international stock is the 'least shortable'""",Even
"b""Here's another reason to think twice before using your debit card""",Even
b'Viacom board said to be in talks to set up committee to explore CBS deal',Positive
b'Elon Musks Boring Company sells all of its flamethrowers in less than a week',Positive
b'Bitcoin Is Already Having a Bad Year',Negative
b'Scenes from deadly protests in Iran',Negative
"b'American Girl Debuts New Doll, an Aspiring Astronaut Named Luciana'",Positive
b'4 reasons crypto still isnt mainstream',Even
"b""The surprising story behind Trader Joe's 19 cent bananas""",Even
"b'Born in a dishwasher drawer, an Italian spin on currency mining'",Even
b'Euro zone economy slows as expected in first quarter',Negative
b'Trumps New Lawyer Has Unique Rsum - Washington Wire - WSJ',Even
"b""Where the jobs are: Houston's police shortage""",Even
"b""Nvidia's massive run reminds me of the tech bubble""",Even
b'Energy sector in correction territory',Negative
b'No-frills micro hospitals with as few as 8 rooms emerge as a new way to cut health-care costs',Positive
"b""Why Verizon's CEO is banking on diversityand asking men to help""",Positive
b'Commodities tomorrow: Crude up,Positive
b'Retail leads planned job cuts ',Negative
"b'15,000 internet-connected devices could be hacked to mine $1,000 of cryptocurrency in 4 days'",Negative
b'McDonalds Workers Say the Company Is Breaking Its Minimum Wage Pledge',Negative
b'China Calls for Trade Talks as Retaliatory Tariffs on U.S. Goods Take Effect',Negative
b'U.S. factory activity accelerates; construction spending at record high',Positive
b'Your first bitcoin trade for the new year',Even
b'EMERGING MARKETS-LatAm markets kick off 2018 with a rally',Positive
b'P&G and these other Dow stocks go down the least when market is in the grips of a sell-off',Negative
"b'US consumer sentiment falls less than expected, remaining near all-time highs'",Positive
b'Deutsche Telekom Expects Debt Repayment If T-Mobile Buys Sprint - CFO Journal. - WSJ',Even
b'Brexit & Beyond: U.S. Allies Worry About Trumps Next Trade Move',Negative
b'US extends tariff exemptions for European Union and other allies',Even
"b'WSJ City: Tesla Burns Through Cash, U.S. Weighs Curbs on China Telecom Firms'",Negative
"b""A big trade deal 'unlikely to happen' with Trump's team in China: Former government official""",Negative
b'Podcast: Blockchain as Lie Detector',Even
"b'BRIEF-Thomson Reuters Provides Information Related To Future Financial Reporting, Outlook - Reuters'",Even
"b'Why trade wars can be fantastically disruptive, the IMFs historian warns'",Negative
b'Apple earnings are coming after the bell',Even
"b'Your first trade for Thursday, February 1'",Even
"b""'This is more of a phony war than a real trade war': Strategist""",Negative
"b""Southwest Airlines to Boeing: We'll take the large""",Even
b'UPDATE 1-Petrobras to pay $2.95 bln to settle U.S. class action over corruption',Negative
"b'Tesla delivers 1,550 Model 3 sedans and 29,870 total vehicles in fourth quarter'",Positive
"b""UPDATE 2-Brazil's Petrobras settles U.S. corruption class action for $2.95 bln""",Negative
